出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1131117,11310,2449,京元電子,半導體業,2410546,2343053,2187829,2.8805579728670243,10.17981752687253,21969667,19833799,10.768829511683567,"以上營收不含停業部門營收:113年10月907,732仟元暨112年10月690,478仟元;113年1~10月8,212,520仟元,暨112年1~10月7,569,976仟元"
1131117,11310,2450,神腦,通信網路業,3353952,2761710,3069122,21.444757052695614,9.280504326644559,26719028,25979864,2.845141914522724,-
1131117,11310,2451,創見,半導體業,784582,819543,912945,-4.265914052,-14.06032127,8365738,8718427,-4.04532836,-
1131117,11310,2453,凌群,資訊服務業,598691,670468,577641,-10.7055072,3.6441319089192077,5259754,4822309,9.071276851,-
1131117,11310,2454,聯發科,半導體業,51117348,44675936,42810847,14.418079567487965,19.402795277561314,443660110,346695172,27.96835544,海外子公司之營收係以當月平均匯率換算之
1131117,11310,2455,全新,通信網路業,236267,269294,316680,-12.26429107,-25.39250979,2755010,2073846,32.84544754046347,-
1131117,11310,2457,飛宏,電子零組件業,775604,821693,1030367,-5.609029163,-24.7254619,8680711,10446212,-16.90087278,-
1131117,11310,2458,義隆,半導體業,1083784,1114868,1075830,-2.788132765,0.7393361404682895,10743816,10024299,7.177728836699703,-
1131117,11310,2459,敦吉,其他電子業,408914,425481,671291,-3.893710883,-39.08543389,4352991,6205830,-29.85642533,-
1131117,11310,2460,建通,電子零組件業,247569,257959,213319,-4.027771855,16.055766246794708,2545602,2054355,23.91246887709281,-
1131117,11310,2461,光群雷,其他電子業,444838,444256,477280,0.1310055463516531,-6.797267851,4599389,4677060,-1.66068,-
1131117,11310,2462,良得電,電子零組件業,325014,370385,362130,-12.24968614,-10.24935797,3347845,3235826,3.461836328653024,-
1131117,11310,2464,盟立,其他電子業,762807,796115,633450,-4.183817665,20.421027705422684,6122729,7381858,-17.05707425,-
1131117,11310,2465,麗臺,電腦及週邊設備業,348625,325865,419757,6.9844874411182545,-16.94599494,3016071,2974050,1.4129217733393857,-
1131117,11310,2466,冠西電,光電業,93171,54195,45496,71.91807362302795,104.78943203798136,984364,965788,1.9234034798527213,主係因燈飾營收較去年同期增加
1131117,11310,2467,志聖,電子零組件業,371439,333203,271078,11.475286837153327,37.02292329145117,3854369,2871475,34.22958584002995,-
1131117,11310,2468,華經,資訊服務業,136237,205182,254908,-33.60187541,-46.55444317,1772969,2006437,-11.6359497,-
1131117,11310,2471,資通,資訊服務業,82777,73724,74620,12.279583310726494,10.931385687483248,677220,652469,3.7934369295706003,-
1131117,11310,2472,立隆電,電子零組件業,905882,921902,742940,-1.737711818,21.93205373,8624264,7371536,16.994124426713782,-
1131117,11310,2474,可成,其他電子業,1373292,1463194,1093398,-6.144229678,25.598546915212943,14821423,15860182,-6.549477175,-
1131117,11310,2476,鉅祥,電子零組件業,558215,605687,469460,-7.837711557,18.90576406935628,5473074,4759054,15.003401936603368,-
1131117,11310,2477,美隆電,其他電子業,223569,311785,203339,-28.29385634,9.948903063357251,2231460,1954873,14.148591749949997,-
1131117,11310,2478,大毅,電子零組件業,420735,421211,401319,-0.113007495,4.838046541529307,4089352,3836197,6.599113653443762,-
1131117,11310,2480,敦陽科,資訊服務業,725021,625350,723077,15.938434476693052,0.26885103522861326,6027904,6022504,0.089663701,-
1131117,11310,2481,強茂,半導體業,942180,1109296,1004949,-15.06505027,-6.245988602,10466926,10681897,-2.012479619,"本月營收淨額含功率元件及其他IC產品$938,737仟元及太陽能$18,965仟元，減銷退/折$15,522仟元"
1131117,11310,2482,連宇,其他電子業,51537,51935,83149,-0.766342544,-38.01849692,510676,1286130,-60.29359396,主要係客戶需求減少所致
1131117,11310,2483,百容,電子零組件業,152836,142513,141354,7.243549711254412,8.122868826,1495893,1508400,-0.829156722,-
